Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,New Zealand
New Zealand,England,England,New Zealand,33 runs,Auckland,2/23/2002,ODI # 1812,1812,New Zealand,New Zealand
New Zealand,England,New Zealand,England,5 wickets,Dunedin,2/26/2002,ODI # 1813,1813,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,11 runs,Sharjah,4/9/2002,ODI # 1826,1826,United Arab Emirates,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,51 runs,Sharjah,4/11/2002,ODI # 1828,1828,United Arab Emirates,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,46 runs,Sharjah,4/14/2002,ODI # 1830,1830,United Arab Emirates,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,8 wickets,Sharjah,4/15/2002,ODI # 1831,1831,United Arab Emirates,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,153 runs,Karachi,4/21/2002,ODI # 1833,1833,Pakistan,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,3 wickets,Rawalpindi,4/24/2002,ODI # 1834,1834,Pakistan,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,66 runs,Lahore,4/27/2002,ODI # 1835,1835,Pakistan,New Zealand
West Indies,New Zealand,no result,West Indies,,Kingston,6/5/2002,ODI # 1839,1839,West Indies,New Zealand
West Indies,New Zealand,West Indies,New Zealand,6 wickets,Gros Islet,6/8/2002,ODI # 1840,1840,West Indies,New Zealand
West Indies,New Zealand,West Indies,New Zealand,7 wickets,Gros Islet,6/9/2002,ODI # 1841,1841,West Indies,New Zealand
West Indies,New Zealand,New Zealand,West Indies,9 runs,Port of Spain,6/12/2002,ODI # 1843,1843,West Indies,New Zealand
West Indies,New Zealand,West Indies,New Zealand,4 wickets,Kingstown,6/16/2002,ODI # 1845,1845,West Indies,New Zealand
Australia,New Zealand,Australia,New Zealand,164 runs,Colombo (SSC),9/15/2002,ODI # 1877,1877,Sri Lanka,New Zealand
Bangladesh,New Zealand,New Zealand,Bangladesh,167 runs,Colombo (SSC),9/23/2002,ODI # 1885,1885,Sri Lanka,New Zealand
New Zealand,India,New Zealand,India,3 wickets,Auckland,12/26/2002,ODI # 1926,1926,New Zealand,New Zealand
New Zealand,India,New Zealand,India,35 runs,Napier,12/29/2002,ODI # 1927,1927,New Zealand,New Zealand
New Zealand,India,New Zealand,India,5 wickets,Christchurch,1/1/2003,ODI # 1928,1928,New Zealand,New Zealand
New Zealand,India,New Zealand,India,7 wickets,Queenstown,1/4/2003,ODI # 1929,1929,New Zealand,New Zealand
New Zealand,India,India,New Zealand,2 wickets,Wellington,1/8/2003,ODI # 1930,1930,New Zealand,New Zealand
New Zealand,India,India,New Zealand,1 wicket,Auckland,1/11/2003,ODI # 1933,1933,New Zealand,New Zealand
New Zealand,India,New Zealand,India,6 wickets,Hamilton,1/14/2003,ODI # 1935,1935,New Zealand,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,47 runs,Bloemfontein,2/10/2003,ODI # 1944,1944,South Africa,New Zealand
New Zealand,West Indies,New Zealand,West Indies,20 runs,Gqeberha,2/13/2003,ODI # 1949,1949,South Africa,New Zealand
South Africa,New Zealand,New Zealand,South Africa,9 wickets,Johannesburg,2/16/2003,ODI # 1955,1955,South Africa,New Zealand
Bangladesh,New Zealand,New Zealand,Bangladesh,7 wickets,Kimberley,2/26/2003,ODI # 1968,1968,South Africa,New Zealand
Canada,New Zealand,New Zealand,Canada,5 wickets,Benoni,3/3/2003,ODI # 1977,1977,South Africa,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,6 wickets,Bloemfontein,3/8/2003,ODI # 1984,1984,South Africa,New Zealand
Australia,New Zealand,Australia,New Zealand,96 runs,Gqeberha,3/11/2003,ODI # 1986,1986,South Africa,New Zealand
India,New Zealand,India,New Zealand,7 wickets,Centurion,3/14/2003,ODI # 1988,1988,South Africa,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,7 wickets,Dambulla,5/11/2003,ODI # 2009,2009,Sri Lanka,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,5 wickets,Dambulla,5/13/2003,ODI # 2010,2010,Sri Lanka,New Zealand
Sri Lanka,New Zealand,New Zealand,Sri Lanka,9 runs,Dambulla,5/19/2003,ODI # 2014,2014,Sri Lanka,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,22 runs,Dambulla,5/20/2003,ODI # 2015,2015,Sri Lanka,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,4 wickets,Dambulla,5/23/2003,ODI # 2017,2017,Sri Lanka,New Zealand
India,New Zealand,no result,India,,Chennai,10/23/2003,ODI # 2051,2051,India,New Zealand
Australia,New Zealand,Australia,New Zealand,8 wickets,Faridabad,10/29/2003,ODI # 2053,2053,India,New Zealand
Australia,New Zealand,Australia,New Zealand,2 wickets,Pune,11/3/2003,ODI # 2055,2055,India,New Zealand
India,New Zealand,New Zealand,India,4 wickets,Cuttack,11/6/2003,ODI # 2056,2056,India,New Zealand
Australia,New Zealand,Australia,New Zealand,44 runs,Guwahati,11/9/2003,ODI # 2058,2058,India,New Zealand
India,New Zealand,India,New Zealand,145 runs,Hyderabad (Deccan),11/15/2003,ODI # 2062,2062,India,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,3 wickets,Lahore,11/29/2003,ODI # 2068,2068,Pakistan,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,124 runs,Lahore,12/1/2003,ODI # 2071,2071,Pakistan,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,51 runs,Faisalabad,12/3/2003,ODI # 2072,2072,Pakistan,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,7 wickets,Rawalpindi,12/5/2003,ODI # 2073,2073,Pakistan,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,49 runs,Rawalpindi,12/7/2003,ODI # 2074,2074,Pakistan,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,4 wickets,Auckland,1/3/2004,ODI # 2075,2075,New Zealand,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,6 wickets,Queenstown,1/7/2004,ODI # 2076,2076,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,7 wickets,Christchurch,1/10/2004,ODI # 2078,2078,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,8 wickets,Napier,1/14/2004,ODI # 2081,2081,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,4 runs,Wellington,1/17/2004,ODI # 2083,2083,New Zealand,New Zealand
New Zealand,South Africa,South Africa,New Zealand,5 wickets,Auckland,2/13/2004,ODI # 2099,2099,New Zealand,New Zealand
New Zealand,South Africa,New Zealand,South Africa,5 wickets,Christchurch,2/17/2004,ODI # 2100,2100,New Zealand,New Zealand
New Zealand,South Africa,New Zealand,South Africa,5 runs,Wellington,2/20/2004,ODI # 2101,2101,New Zealand,New Zealand
New Zealand,South Africa,New Zealand,South Africa,6 wickets,Dunedin,2/25/2004,ODI # 2104,2104,New Zealand,New Zealand
New Zealand,South Africa,New Zealand,South Africa,2 runs,Auckland,2/29/2004,ODI # 2107,2107,New Zealand,New Zealand
New Zealand,South Africa,New Zealand,South Africa,5 wickets,Napier,3/2/2004,ODI # 2109,2109,New Zealand,New Zealand
New Zealand,West Indies,no result,New Zealand,,Birmingham,6/26/2004,ODI # 2134,2134,England,New Zealand
England,New Zealand,New Zealand,England,7 wickets,Chester-le-Street,6/29/2004,ODI # 2136,2136,England,New Zealand
New Zealand,West Indies,New Zealand,West Indies,5 wickets,Cardiff,7/3/2004,ODI # 2138,2138,Wales,New Zealand
England,New Zealand,New Zealand,England,6 wickets,Bristol,7/4/2004,ODI # 2139,2139,England,New Zealand
New Zealand,West Indies,no result,New Zealand,,Southampton,7/8/2004,ODI # 2141,2141,England,New Zealand
New Zealand,West Indies,New Zealand,West Indies,107 runs,Lord's,7/10/2004,ODI # 2142,2142,England,New Zealand
New Zealand,U.S.A.,New Zealand,U.S.A.,210 runs,The Oval,9/10/2004,ODI # 2169,2169,England,New Zealand
Australia,New Zealand,Australia,New Zealand,7 wickets,The Oval,9/16/2004,ODI # 2176,2176,England,New Zealand
Bangladesh,New Zealand,New Zealand,Bangladesh,138 runs,Chattogram,11/2/2004,ODI # 2189,2189,Bangladesh,New Zealand
Bangladesh,New Zealand,New Zealand,Bangladesh,3 wickets,Dhaka,11/5/2004,ODI # 2190,2190,Bangladesh,New Zealand
Bangladesh,New Zealand,New Zealand,Bangladesh,83 runs,Dhaka,11/7/2004,ODI # 2191,2191,Bangladesh,New Zealand
Australia,New Zealand,New Zealand,Australia,4 wickets,Melbourne (Docklands),12/5/2004,ODI # 2196,2196,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,17 runs,Sydney,12/8/2004,ODI # 2198,2198,Australia,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Auckland,12/26/2004,ODI # 2200,2200,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,10 runs,Wellington,2/19/2005,ODI # 2227,2227,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,106 runs,Christchurch,2/22/2005,ODI # 2228,2228,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,86 runs,Auckland,2/26/2005,ODI # 2230,2230,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,7 wickets,Wellington,3/1/2005,ODI # 2232,2232,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,122 runs,Napier,3/5/2005,ODI # 2234,2234,New Zealand,New Zealand
Zimbabwe,New Zealand,New Zealand,Zimbabwe,192 runs,Bulawayo,8/24/2005,ODI # 2272,2272,Zimbabwe,New Zealand
India,New Zealand,New Zealand,India,51 runs,Bulawayo,8/26/2005,ODI # 2273,2273,Zimbabwe,New Zealand
Zimbabwe,New Zealand,New Zealand,Zimbabwe,27 runs,Harare,8/31/2005,ODI # 2276,2276,Zimbabwe,New Zealand
India,New Zealand,India,New Zealand,6 wickets,Harare,9/2/2005,ODI # 2278,2278,Zimbabwe,New Zealand
India,New Zealand,New Zealand,India,6 wickets,Harare,9/6/2005,ODI # 2281,2281,Zimbabwe,New Zealand
South Africa,New Zealand,South Africa,New Zealand,2 wickets,Bloemfontein,10/23/2005,ODI # 2285,2285,South Africa,New Zealand
South Africa,New Zealand,South Africa,New Zealand,19 runs,Cape Town,10/28/2005,ODI # 2288,2288,South Africa,New Zealand
South Africa,New Zealand,South Africa,New Zealand,4 wickets,Gqeberha,10/30/2005,ODI # 2289,2289,South Africa,New Zealand
South Africa,New Zealand,no result,South Africa,,Durban,11/4/2005,ODI # 2292,2292,South Africa,New Zealand
South Africa,New Zealand,South Africa,New Zealand,5 wickets,Centurion,11/6/2005,ODI # 2293,2293,South Africa,New Zealand
New Zealand,Australia,Australia,New Zealand,147 runs,Auckland,12/3/2005,ODI # 2301,2301,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,2 runs,Wellington,12/7/2005,ODI # 2302,2302,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,2 wickets,Christchurch,12/10/2005,ODI # 2303,2303,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Queenstown,12/31/2005,ODI # 2309,2309,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Christchurch,1/3/2006,ODI # 2310,2310,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,21 runs,Wellington,1/6/2006,ODI # 2311,2311,New Zealand,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,20 runs,Napier,1/8/2006,ODI # 2312,2312,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,81 runs,Wellington,2/18/2006,ODI # 2332,2332,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,3 wickets,Queenstown,2/22/2006,ODI # 2335,2335,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,21 runs,Christchurch,2/25/2006,ODI # 2337,2337,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,91 runs,Napier,3/1/2006,ODI # 2342,2342,New Zealand,New Zealand
New Zealand,West Indies,West Indies,New Zealand,3 wickets,Auckland,3/4/2006,ODI # 2346,2346,New Zealand,New Zealand
New Zealand,South Africa,New Zealand,South Africa,87 runs,Brabourne,10/16/2006,ODI # 2430,2430,India,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,7 wickets,Brabourne,10/20/2006,ODI # 2433,2433,India,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,51 runs,Mohali,10/25/2006,ODI # 2436,2436,India,New Zealand
Australia,New Zealand,Australia,New Zealand,34 runs,Mohali,11/1/2006,ODI # 2441,2441,India,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,7 wickets,Napier,12/28/2006,ODI # 2468,2468,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,1 wicket,Queenstown,12/31/2006,ODI # 2469,2469,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Christchurch,1/2/2007,ODI # 2470,2470,New Zealand,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,189 runs,Auckland,1/6/2007,ODI # 2471,2471,New Zealand,New Zealand
New Zealand,Sri Lanka,no result,New Zealand,,Hamilton,1/9/2007,ODI # 2472,2472,New Zealand,New Zealand
Australia,New Zealand,Australia,New Zealand,105 runs,Hobart,1/14/2007,ODI # 2474,2474,Australia,New Zealand
England,New Zealand,England,New Zealand,3 wickets,Hobart,1/16/2007,ODI # 2475,2475,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,2 wickets,Sydney,1/21/2007,ODI # 2479,2479,Australia,New Zealand
England,New Zealand,New Zealand,England,90 runs,Adelaide,1/23/2007,ODI # 2482,2482,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,8 runs,Perth,1/28/2007,ODI # 2488,2488,Australia,New Zealand
England,New Zealand,New Zealand,England,58 runs,Perth,1/30/2007,ODI # 2490,2490,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,5 wickets,Melbourne,2/4/2007,ODI # 2501,2501,Australia,New Zealand
England,New Zealand,England,New Zealand,14 runs,Brisbane,2/6/2007,ODI # 2510,2510,Australia,New Zealand
New Zealand,Australia,New Zealand,Australia,10 wickets,Wellington,2/16/2007,ODI # 2524,2524,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,5 wickets,Auckland,2/18/2007,ODI # 2526,2526,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,1 wicket,Hamilton,2/20/2007,ODI # 2527,2527,New Zealand,New Zealand
England,New Zealand,New Zealand,England,6 wickets,Gros Islet,3/16/2007,ODI # 2536,2536,West Indies,New Zealand
Kenya,New Zealand,New Zealand,Kenya,148 runs,Gros Islet,3/20/2007,ODI # 2544,2544,West Indies,New Zealand
Canada,New Zealand,New Zealand,Canada,114 runs,Gros Islet,3/22/2007,ODI # 2548,2548,West Indies,New Zealand
West Indies,New Zealand,New Zealand,West Indies,7 wickets,North Sound,3/29/2007,ODI # 2557,2557,West Indies,New Zealand
Bangladesh,New Zealand,New Zealand,Bangladesh,9 wickets,North Sound,4/2/2007,ODI # 2561,2561,West Indies,New Zealand
Ireland,New Zealand,New Zealand,Ireland,129 runs,Providence,4/9/2007,ODI # 2566,2566,West Indies,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,6 wickets,St George's,4/12/2007,ODI # 2569,2569,West Indies,New Zealand
New Zealand,South Africa,New Zealand,South Africa,5 wickets,St George's,4/14/2007,ODI # 2571,2571,West Indies,New Zealand
Australia,New Zealand,Australia,New Zealand,215 runs,St George's,4/20/2007,ODI # 2577,2577,West Indies,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,81 runs,Kingston,4/24/2007,ODI # 2579,2579,West Indies,New Zealand
South Africa,New Zealand,South Africa,New Zealand,2 wickets,Durban,11/25/2007,ODI # 2648,2648,South Africa,New Zealand
South Africa,New Zealand,New Zealand,South Africa,7 wickets,Gqeberha,11/30/2007,ODI # 2650,2650,South Africa,New Zealand
South Africa,New Zealand,South Africa,New Zealand,5 wickets,Cape Town,12/2/2007,ODI # 2652,2652,South Africa,New Zealand
Australia,New Zealand,Australia,New Zealand,7 wickets,Adelaide,12/14/2007,ODI # 2655,2655,Australia,New Zealand
Australia,New Zealand,no result,Australia,,Sydney,12/16/2007,ODI # 2656,2656,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,114 runs,Hobart,12/20/2007,ODI # 2657,2657,Australia,New Zealand
New Zealand,Bangladesh,New Zealand,Bangladesh,6 wickets,Auckland,12/26/2007,ODI # 2658,2658,New Zealand,New Zealand
New Zealand,Bangladesh,New Zealand,Bangladesh,102 runs,Napier,12/28/2007,ODI # 2659,2659,New Zealand,New Zealand
New Zealand,Bangladesh,New Zealand,Bangladesh,10 wickets,Queenstown,12/31/2007,ODI # 2660,2660,New Zealand,New Zealand
New Zealand,England,New Zealand,England,6 wickets,Wellington,2/9/2008,ODI # 2674,2674,New Zealand,New Zealand
New Zealand,England,New Zealand,England,10 wickets,Hamilton,2/12/2008,ODI # 2677,2677,New Zealand,New Zealand
New Zealand,England,England,New Zealand,6 wickets,Auckland,2/15/2008,ODI # 2678,2678,New Zealand,New Zealand
New Zealand,England,tied,New Zealand,,Napier,2/20/2008,ODI # 2682,2682,New Zealand,New Zealand
New Zealand,England,New Zealand,England,34 runs,Christchurch,2/23/2008,ODI # 2684,2684,New Zealand,New Zealand
England,New Zealand,England,New Zealand,114 runs,Chester-le-Street,6/15/2008,ODI # 2708,2708,England,New Zealand
England,New Zealand,no result,England,,Birmingham,6/18/2008,ODI # 2709,2709,England,New Zealand
England,New Zealand,New Zealand,England,22 runs,Bristol,6/21/2008,ODI # 2710,2710,England,New Zealand
England,New Zealand,New Zealand,England,1 wicket,The Oval,6/25/2008,ODI # 2714,2714,England,New Zealand
England,New Zealand,New Zealand,England,51 runs,Lord's,6/28/2008,ODI # 2720,2720,England,New Zealand
Ireland,New Zealand,New Zealand,Ireland,290 runs,Aberdeen,7/1/2008,ODI # 2727,2727,Scotland,New Zealand
Scotland,New Zealand,New Zealand,Scotland,8 wickets,Aberdeen,7/3/2008,ODI # 2731,2731,Scotland,New Zealand
Bangladesh,New Zealand,Bangladesh,New Zealand,7 wickets,Mirpur,10/9/2008,ODI # 2763,2763,Bangladesh,New Zealand
Bangladesh,New Zealand,New Zealand,Bangladesh,75 runs,Mirpur,10/11/2008,ODI # 2764,2764,Bangladesh,New Zealand
Bangladesh,New Zealand,New Zealand,Bangladesh,79 runs,Chattogram,10/14/2008,ODI # 2765,2765,Bangladesh,New Zealand
New Zealand,West Indies,no result,New Zealand,,Queenstown,12/31/2008,ODI # 2786,2786,New Zealand,New Zealand
New Zealand,West Indies,West Indies,New Zealand,5 wickets,Christchurch,1/3/2009,ODI # 2787,2787,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,7 wickets,Wellington,1/7/2009,ODI # 2788,2788,New Zealand,New Zealand
New Zealand,West Indies,no result,New Zealand,,Auckland,1/10/2009,ODI # 2789,2789,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,9 runs,Napier,1/13/2009,ODI # 2792,2792,New Zealand,New Zealand
Australia,New Zealand,New Zealand,Australia,2 wickets,Perth,2/1/2009,ODI # 2811,2811,Australia,New Zealand
Australia,New Zealand,New Zealand,Australia,6 wickets,Melbourne,2/6/2009,ODI # 2816,2816,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,32 runs,Sydney,2/8/2009,ODI # 2817,2817,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,6 wickets,Adelaide,2/10/2009,ODI # 2819,2819,Australia,New Zealand
Australia,New Zealand,no result,Australia,,Brisbane,2/13/2009,ODI # 2820,2820,Australia,New Zealand
New Zealand,India,India,New Zealand,53 runs,Napier,3/3/2009,ODI # 2821,2821,New Zealand,New Zealand
New Zealand,India,no result,New Zealand,,Wellington,3/6/2009,ODI # 2822,2822,New Zealand,New Zealand
New Zealand,India,India,New Zealand,58 runs,Christchurch,3/8/2009,ODI # 2823,2823,New Zealand,New Zealand
New Zealand,India,India,New Zealand,84 runs,Hamilton,3/11/2009,ODI # 2824,2824,New Zealand,New Zealand
New Zealand,India,New Zealand,India,8 wickets,Auckland,3/14/2009,ODI # 2825,2825,New Zealand,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,97 runs,Colombo (RPS),9/8/2009,ODI # 2884,2884,Sri Lanka,New Zealand
India,New Zealand,India,New Zealand,6 wickets,Colombo (RPS),9/11/2009,ODI # 2886,2886,Sri Lanka,New Zealand
South Africa,New Zealand,South Africa,New Zealand,5 wickets,Centurion,9/24/2009,ODI # 2895,2895,South Africa,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,38 runs,Johannesburg,9/27/2009,ODI # 2899,2899,South Africa,New Zealand
England,New Zealand,New Zealand,England,4 wickets,Johannesburg,9/29/2009,ODI # 2902,2902,South Africa,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,5 wickets,Johannesburg,10/3/2009,ODI # 2906,2906,South Africa,New Zealand
Australia,New Zealand,Australia,New Zealand,6 wickets,Centurion,10/5/2009,ODI # 2907,2907,South Africa,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,138 runs,Abu Dhabi,11/3/2009,ODI # 2921,2921,United Arab Emirates,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,64 runs,Abu Dhabi,11/6/2009,ODI # 2924,2924,United Arab Emirates,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,7 runs,Abu Dhabi,11/9/2009,ODI # 2927,2927,United Arab Emirates,New Zealand
New Zealand,Bangladesh,New Zealand,Bangladesh,146 runs,Napier,2/5/2010,ODI # 2949,2949,New Zealand,New Zealand
New Zealand,Bangladesh,New Zealand,Bangladesh,5 wickets,Dunedin,2/8/2010,ODI # 2951,2951,New Zealand,New Zealand
New Zealand,Bangladesh,New Zealand,Bangladesh,3 wickets,Christchurch,2/11/2010,ODI # 2953,2953,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,2 wickets,Napier,3/3/2010,ODI # 2966,2966,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,12 runs,Auckland,3/6/2010,ODI # 2969,2969,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,6 wickets,Hamilton,3/9/2010,ODI # 2971,2971,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,6 wickets,Auckland,3/11/2010,ODI # 2973,2973,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,51 runs,Wellington,3/13/2010,ODI # 2975,2975,New Zealand,New Zealand
India,New Zealand,New Zealand,India,200 runs,Dambulla,8/10/2010,ODI # 3030,3030,Sri Lanka,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,3 wickets,Dambulla,8/13/2010,ODI # 3031,3031,Sri Lanka,New Zealand
Sri Lanka,New Zealand,no result,Sri Lanka,,Dambulla,8/19/2010,ODI # 3037,3037,Sri Lanka,New Zealand
India,New Zealand,India,New Zealand,105 runs,Dambulla,8/25/2010,ODI # 3039,3039,Sri Lanka,New Zealand
Bangladesh,New Zealand,Bangladesh,New Zealand,9 runs,Mirpur,10/5/2010,ODI # 3051,3051,Bangladesh,New Zealand
Bangladesh,New Zealand,Bangladesh,New Zealand,7 wickets,Mirpur,10/11/2010,ODI # 3054,3054,Bangladesh,New Zealand
Bangladesh,New Zealand,Bangladesh,New Zealand,9 runs,Mirpur,10/14/2010,ODI # 3056,3056,Bangladesh,New Zealand
Bangladesh,New Zealand,Bangladesh,New Zealand,3 runs,Mirpur,10/17/2010,ODI # 3058,3058,Bangladesh,New Zealand
India,New Zealand,India,New Zealand,40 runs,Guwahati,11/28/2010,ODI # 3070,3070,India,New Zealand
India,New Zealand,India,New Zealand,8 wickets,Jaipur,12/1/2010,ODI # 3072,3072,India,New Zealand
